client_id,gender,age,region,income_monthly,profession,client_type,marital_status,has_children,years_with_bank,education_level,preferred_channel
C000001,F,28,Sochi,116131.99381938463,Teacher,Premium,Married,0,13,Bachelor,Branch
C000002,M,22,Krasnodar,75567.86088424227,Student,Retail,Married,1,14,Secondary,Branch
C000003,M,65,Novosibirsk,173916.58604465952,Accountant,Retail,Single,0,7,Master,Website
C000004,F,54,Kazan,126129.27723161894,Engineer,Retail,Single,1,13,Bachelor,Mobile App
C000005,F,24,Novosibirsk,85573.84603682577,Accountant,Retail,Single,0,12,Secondary,Mobile App
C000006,M,63,Moscow,47107.636877340534,Doctor,Retail,Married,1,8,PhD,Mobile App
C000007,F,38,Krasnodar,42249.60332357308,Driver,Premium,Married,1,9,Master,Call Center
C000008,F,18,Novosibirsk,114804.36327227547,Driver,Retail,Married,0,8,Bachelor,Mobile App
C000009,F,57,Novosibirsk,65398.93633418369,Student,Retail,Single,0,7,Bachelor,Mobile App
C000010,M,47,Saint Petersburg,39479.137084843765,Engineer,Retail,Married,1,14,Master,Mobile App
C000011,M,43,Sochi,75695.64817920262,Salesperson,Retail,Married,1,4,Secondary,Call Center
C000012,F,61,Sochi,90818.98210824665,Salesperson,Premium,Married,0,5,Bachelor,Mobile App
C000013,M,22,Moscow,120719.55150145528,Student,Retail,Married,0,5,Bachelor,Branch
C000014,M,58,Saint Petersburg,38290.58532381131,Manager,Retail,Married,1,3,Secondary,Website
C000015,M,58,Kazan,72738.90793763027,Driver,Retail,Married,1,3,Bachelor,Call Center
C000016,F,58,Yekaterinburg,38690.088478042984,Salesperson,Retail,Married,1,1,Bachelor,Mobile App
C000017,M,27,Vladivostok,137117.86921445624,Driver,Retail,Single,0,7,Bachelor,Website
C000018,M,28,Novosibirsk,84657.74453612113,Manager,Business,Married,0,6,Bachelor,Website
C000019,F,37,Krasnodar,68062.80809858542,IT Specialist,Retail,Single,1,8,PhD,Branch
C000020,F,39,Novosibirsk,101911.99157517128,Doctor,Premium,Single,1,5,Bachelor,Mobile App
C000021,F,38,Yekaterinburg,84781.78763643035,Salesperson,Retail,Single,0,7,Bachelor,Call Center
C000022,F,21,Yekaterinburg,118810.72703439556,Doctor,Retail,Single,0,7,Bachelor,Website
C000023,F,35,Moscow,163414.11316270084,Teacher,Retail,Single,0,14,Secondary,Mobile App
C000024,F,28,Sochi,84864.25321875066,Manager,Retail,Single,1,9,PhD,Mobile App
C000025,F,50,Yekaterinburg,62611.190325546675,Student,Retail,Married,0,9,Secondary,Branch
C000026,M,23,Krasnodar,112851.49732619454,IT Specialist,Retail,Married,1,11,Secondary,Mobile App
C000027,M,68,Rostov-on-Don,27609.430559642788,Engineer,Premium,Widowed,1,0,Bachelor,Call Center
C000028,M,72,Krasnodar,69186.73347947533,IT Specialist,Retail,Divorced,0,14,Secondary,Mobile App
C000029,M,54,Rostov-on-Don,165295.8020447956,Doctor,Retail,Single,0,6,Secondary,Mobile App
C000030,F,73,Vladivostok,99903.58075388626,Manager,Premium,Married,1,13,Secondary,Mobile App
C000031,M,62,Moscow,173034.98069683916,Salesperson,Retail,Divorced,0,3,Secondary,Website
C000032,M,43,Moscow,62315.2154805423,Engineer,Retail,Single,0,0,Secondary,Branch
C000033,M,23,Novosibirsk,150141.53759268284,Accountant,Retail,Divorced,0,2,Master,Branch
C000034,F,58,Yekaterinburg,119805.87170518613,Salesperson,Retail,Single,0,13,Bachelor,Website
