client_id,gender,age,region,income_monthly,profession,client_type,marital_status,has_children,years_with_bank,education_level,preferred_channel
C000001,F,28,Krasnodar,70938.12488010616,Manager,Premium,Widowed,1,6,Bachelor,Branch
C000002,M,22,Vladivostok,157485.98573652218,Student,Retail,Widowed,1,8,PhD,Mobile App
C000003,M,65,Saint Petersburg,44978.104048609515,Pensioner,Retail,Single,0,1,Bachelor,Branch
C000004,F,54,Moscow,88808.27642741945,Student,Retail,Single,1,9,Secondary,Mobile App
C000005,F,24,Novosibirsk,148603.85969090596,Salesperson,Premium,Widowed,1,7,Bachelor,Mobile App
C000006,M,63,Moscow,72679.50668688637,Pensioner,Retail,Widowed,0,3,Bachelor,Call Center
C000007,F,38,Yekaterinburg,120317.25656313536,Student,Retail,Widowed,0,13,PhD,Branch
C000008,F,18,Novosibirsk,82262.65168639852,Teacher,Retail,Single,0,4,Bachelor,Call Center
C000009,F,57,Krasnodar,80686.070389734,Salesperson,Premium,Married,0,3,Bachelor,Mobile App
C000010,M,47,Yekaterinburg,124162.57344757614,IT Specialist,Retail,Divorced,0,3,Master,Mobile App
C000011,M,43,Saint Petersburg,122285.36675200923,Engineer,Retail,Single,0,4,Bachelor,Mobile App
C000012,F,61,Saint Petersburg,94685.06490614705,Teacher,Retail,Single,1,10,Master,Website
C000013,M,22,Kazan,165218.25794057373,Teacher,Retail,Divorced,0,1,Master,Call Center
C000014,M,58,Krasnodar,125397.32197580923,Manager,Retail,Divorced,1,11,Bachelor,Call Center
C000015,M,58,,58735.356702265555,Engineer,Retail,Widowed,0,5,Master,Mobile App
C000016,F,58,Yekaterinburg,101930.79587639918,Teacher,Retail,Divorced,1,2,Secondary,Mobile App
C000017,M,27,Krasnodar,83937.12449410798,Accountant,Retail,Widowed,0,14,Bachelor,Mobile App
C000018,M,28,Kazan,110777.13330613576,Student,Retail,Widowed,0,11,Bachelor,Website
C000019,F,37,Vladivostok,147314.3540466181,Driver,Premium,Single,0,8,Secondary,Call Center
C000020,F,39,Saint Petersburg,32592.81312362379,Student,Retail,Widowed,1,7,Secondary,Mobile App
C000021,F,38,Sochi,83438.61607000334,Teacher,Retail,Married,1,13,Secondary,Mobile App
C000022,F,21,Rostov-on-Don,62769.95701384076,Doctor,Retail,Married,0,2,Master,Website
C000023,F,35,Krasnodar,66093.012904325,Doctor,Retail,Single,0,12,Bachelor,Website
C000024,F,28,Yekaterinburg,49827.2830718339,Doctor,Retail,Single,1,13,Bachelor,Mobile App
C000025,F,50,Rostov-on-Don,92618.795001549,Manager,Premium,Married,0,4,Secondary,Website
C000026,M,23,Moscow,92869.60589600005,IT Specialist,Retail,Single,1,5,Secondary,Website
C000027,M,68,Kazan,72093.68199504829,Student,Retail,Married,1,3,Master,Mobile App
C000028,M,72,Kazan,182433.4616047198,Driver,Retail,Married,0,6,Master,Website
C000029,M,54,Vladivostok,71852.17067549229,Student,Retail,Widowed,1,2,Bachelor,Mobile App
C000030,F,73,Novosibirsk,154163.9266060594,IT Specialist,Retail,Widowed,0,6,Secondary,Call Center
C000031,M,62,Novosibirsk,45745.2367554503,Pensioner,Retail,Divorced,0,14,Bachelor,Mobile App
C000032,M,43,Vladivostok,20000.0,Doctor,Retail,Widowed,1,14,Bachelor,Mobile App
C000033,M,23,Rostov-on-Don,144237.09450586018,Pensioner,Retail,Single,0,10,Master,Mobile App
C000034,F,58,Kazan,72074.7457185468,Pensioner,Retail,Single,0,8,Bachelor,Mobile App
C000035,M,19,Vladivostok,70332.0265716615,Pensioner,Retail,Married,0,2,Master,Mobile App
C000036,M,52,Vladivostok,97656.1257304235,Manager,Premium,Widowed,0,11,Bachelor,Call Center
C000037,M,56,Rostov-on-Don,67704.2276921025,IT Specialist,Retail,Widowed,0,11,Secondary,Website
C000038,F,64,Kazan,82688.99047934356,IT Specialist,Retail,Widowed,0,9,Bachelor,Mobile App
C000039,F,19,Sochi,109822.61362496098,Pensioner,Retail,Widowed,0,10,Secondary,Call Center
C000040,F,37,Saint Petersburg,117493.17348944582,Accountant,Retail,Divorced,0,11,Master,Mobile App
C000041,F,32,Rostov-on-Don,26213.831293109964,Engineer,Retail,Single,0,11,Bachelor,Mobile App
C000042,M,59,Saint Petersburg,86064.09197685122,IT Specialist,Premium,Married,0,2,Bachelor,Mobile App
C000043,M,64,Saint Petersburg,118703.76853665756,Student,Retail,Married,0,0,Bachelor,Website
C000044,M,19,Kazan,105059.90097667545,Manager,Retail,Married,0,5,Bachelor,Mobile App
C000045,F,36,Yekaterinburg,91530.19802031413,Driver,Retail,Single,0,1,Bachelor,Website
C000046,M,35,Kazan,49371.14132276141,IT Specialist,Retail,Single,1,1,Secondary,Mobile App
C000047,F,27,Rostov-on-Don,111579.80520812504,Accountant,Retail,Divorced,1,0,PhD,Mobile App
C000048,F,32,Moscow,84591.19132738277,Student,Retail,Divorced,0,0,Secondary,Mobile App
C000049,F,71,Saint Petersburg,64149.62195772778,Salesperson,Retail,Widowed,1,10,Bachelor,Call Center
C000050,F,67,Kazan,101406.62945804474,Salesperson,Retail,Married,0,8,Secondary,Branch
C000051,M,63,Krasnodar,96401.03051497003,Manager,Retail,Married,0,12,Bachelor,Website
C000052,F,39,Sochi,78663.03096165547,Engineer,Retail,Single,1,6,Secondary,Website
C000053,F,66,Novosibirsk,81472.12696477032,Teacher,Retail,Married,0,9,Secondary,Mobile App
C000054,F,36,,140437.78470182797,Doctor,Premium,Divorced,0,11,Bachelor,Mobile App
C000055,M,29,Moscow,30389.328962936925,Doctor,Retail,Single,0,13,Master,Mobile App
C000056,M,23,Moscow,,Engineer,Retail,Single,0,2,Secondary,Mobile App
C000057,M,73,,96092.42111458657,Teacher,Premium,Married,0,10,Bachelor,Mobile App
C000058,F,70,Moscow,141461.29755289294,Salesperson,Retail,Married,1,6,Bachelor,Mobile App
C000059,F,51,Novosibirsk,43311.518146526614,Teacher,Retail,Widowed,1,3,Secondary,Mobile App
C000060,F,37,Moscow,31271.458350172878,Doctor,Retail,Married,0,0,Bachelor,Branch
C000061,F,50,Vladivostok,185392.16767836653,Teacher,Retail,Single,1,5,Bachelor,Branch
C000062,F,37,Krasnodar,20000.0,Student,Retail,Divorced,0,10,Bachelor,Mobile App
C000063,F,31,Yekaterinburg,67641.41567659943,IT Specialist,Retail,Married,0,13,Bachelor,Branch
C000064,F,26,Saint Petersburg,121766.06552251348,Teacher,Retail,Single,0,6,Bachelor,Website
C000065,F,64,Yekaterinburg,41216.174405257545,Manager,Retail,Married,1,5,Bachelor,Call Center
C000066,M,54,Novosibirsk,94906.46224030432,Salesperson,Retail,Divorced,0,4,Bachelor,Website
C000067,F,43,Moscow,100436.26094323979,Doctor,Retail,Widowed,1,12,Secondary,Mobile App
C000068,M,31,Kazan,157795.47930696054,Driver,Retail,Married,0,13,Secondary,Mobile App
C000069,M,20,Vladivostok,44431.43595226197,Teacher,Retail,Divorced,0,0,Bachelor,Mobile App
C000070,F,42,Krasnodar,98288.3766366514,IT Specialist,Retail,Widowed,0,7,Bachelor,Website
C000071,M,51,Saint Petersburg,128410.64339013289,Student,Retail,Single,1,5,Bachelor,Call Center
C000072,F,36,Moscow,64948.75725731075,Salesperson,Retail,Divorced,0,5,Secondary,Mobile App
