client_id,activity_date,activity_type,activity_result,activity_value,channel
C007271,2025-04-17,TXN,SUCCESS,697.64,Mobile App
C000861,2025-03-15,EMAIL,SUCCESS,557.01,Website
C005391,2025-01-20,TXN,SUCCESS,146.18,Branch
C005192,2025-01-21,APP_LOGIN,SUCCESS,1822.54,Mobile App
C005735,2025-06-14,APP_LOGIN,FAIL,711.11,Mobile App
C006266,2025-05-22,APP_LOGIN,SUCCESS,1836.06,Website
C000467,2025-02-26,EMAIL,NO_RESPONSE,677.32,Mobile App
C004427,2025-02-26,APP_LOGIN,SUCCESS,285.86,Website
C005579,2025-03-10,SMS,NO_RESPONSE,40.43,Call Center
C008323,2025-06-01,TXN,NO_RESPONSE,638.3,Mobile App
C001686,2025-05-31,APP_LOGIN,SUCCESS,761.45,Branch
C000770,2025-02-16,EMAIL,FAIL,524.12,Mobile App
C006950,2025-06-15,CALL,SUCCESS,465.17,Mobile App
C002434,2025-06-29,APP_LOGIN,NO_RESPONSE,226.12,Call Center
C005312,2025-05-21,APP_LOGIN,SUCCESS,1874.28,Call Center
C005052,2025-01-08,SMS,SUCCESS,302.44,Mobile App
C006421,2025-04-12,CALL,SUCCESS,1095.44,Mobile App
C001185,2025-06-09,APP_LOGIN,FAIL,2688.92,Mobile App
C004556,2025-05-25,EMAIL,SUCCESS,27.54,Mobile App
C003386,2025-01-05,TXN,SUCCESS,1675.16,Mobile App
C006397,2025-03-13,APP_LOGIN,SUCCESS,2362.54,Mobile App
C008667,2025-05-03,TXN,NO_RESPONSE,49.54,Mobile App
C009275,2025-05-05,TXN,SUCCESS,1717.39,Mobile App
C002559,2025-06-27,EMAIL,SUCCESS,571.08,Mobile App
C007850,2025-04-04,APP_LOGIN,SUCCESS,322.74,Mobile App
C002048,2025-05-20,SMS,SUCCESS,52.44,Mobile App
C002748,2025-06-21,CALL,SUCCESS,2688.82,Mobile App
C009168,2025-03-09,SMS,SUCCESS,989.43,Mobile App
C009999,2025-05-18,SMS,SUCCESS,204.42,Mobile App
C000190,2025-02-17,CALL,SUCCESS,1214.16,Mobile App
C002735,2025-06-05,TXN,SUCCESS,1174.4,Website
C003006,2025-01-05,EMAIL,SUCCESS,2267.95,Call Center
C004659,2025-02-13,APP_LOGIN,SUCCESS,1664.26,Mobile App
C001900,2025-06-08,CALL,NO_RESPONSE,443.04,Mobile App
C007735,2025-01-16,CALL,SUCCESS,708.18,Mobile App
C001268,2025-05-03,TXN,NO_RESPONSE,1611.02,Mobile App
C001529,2025-01-23,CALL,NO_RESPONSE,687.08,Mobile App
C003557,2025-04-03,APP_LOGIN,SUCCESS,1596.96,Mobile App
C003891,2025-04-21,APP_LOGIN,SUCCESS,1632.73,Mobile App
C008839,2025-01-21,SMS,SUCCESS,2940.08,Branch
C005394,2025-05-10,CALL,SUCCESS,121.36,Mobile App
C008793,2025-01-23,EMAIL,FAIL,872.52,Website
C008434,2025-05-19,TXN,FAIL,305.92,Mobile App
C007514,2025-04-28,TXN,SUCCESS,2697.22,Mobile App
C002613,2025-05-03,APP_LOGIN,SUCCESS,1797.63,Call Center
C007042,2025-05-10,APP_LOGIN,SUCCESS,351.9,Call Center
C009556,2025-03-23,SMS,SUCCESS,3260.41,Mobile App
C006236,2025-05-21,APP_LOGIN,NO_RESPONSE,816.09,Mobile App
C005487,2025-02-14,TXN,FAIL,994.57,Mobile App
C007100,2025-03-13,APP_LOGIN,SUCCESS,317.04,Call Center
C009671,2025-05-18,APP_LOGIN,SUCCESS,298.28,Mobile App
C000776,2025-04-01,APP_LOGIN,NO_RESPONSE,3645.58,Call Center
C008227,2025-03-22,EMAIL,NO_RESPONSE,47.88,Mobile App
C003153,2025-01-21,TXN,SUCCESS,1230.65,Call Center
C001586,2025-01-01,TXN,NO_RESPONSE,117.55,Website
C003944,2025-05-24,TXN,NO_RESPONSE,644.53,Call Center
C007556,2025-06-20,CALL,FAIL,636.62,Mobile App
C003074,2025-05-14,APP_LOGIN,SUCCESS,1681.7,Mobile App
C001022,2025-03-17,APP_LOGIN,FAIL,302.27,Mobile App
C003844,2025-04-22,SMS,SUCCESS,161.37,Mobile App
C007990,2025-01-11,TXN,SUCCESS,1183.62,Mobile App
C009693,2025-04-06,APP_LOGIN,SUCCESS,846.1,Website
C006874,2025-06-26,APP_LOGIN,SUCCESS,913.3,Call Center
C005676,2025-01-20,CALL,SUCCESS,513.74,Website
C000162,2025-01-21,TXN,SUCCESS,349.17,Mobile App
C004298,2025-02-05,APP_LOGIN,SUCCESS,1343.02,Mobile App
C000996,2025-02-07,TXN,NO_RESPONSE,1191.5,Website
C007630,2025-02-25,CALL,SUCCESS,1877.37,Mobile App
C009468,2025-04-01,APP_LOGIN,SUCCESS,1568.24,Mobile App
C001017,2025-01-11,APP_LOGIN,SUCCESS,862.04,Mobile App
C007870,2025-01-18,CALL,SUCCESS,1781.18,Website
C006440,2025-03-22,CALL,SUCCESS,299.41,Website
C007893,2025-04-08,APP_LOGIN,SUCCESS,944.61,Mobile App
C006864,2025-02-14,APP_LOGIN,SUCCESS,404.44,Mobile App
C007917,2025-06-03,TXN,SUCCESS,1474.28,Mobile App
C008530,2025-05-06,APP_LOGIN,SUCCESS,2665.2,Mobile App
C000879,2025-02-28,EMAIL,SUCCESS,1255.85,Call Center
C009269,2025-05-14,TXN,SUCCESS,345.28,Mobile App
C004888,2025-02-12,EMAIL,FAIL,293.89,Mobile App
C004860,2025-04-04,APP_LOGIN,FAIL,120.2,Mobile App
C006332,2025-06-29,APP_LOGIN,SUCCESS,1178.51,Website
C008572,2025-04-13,CALL,FAIL,2793.55,Mobile App
C008685,2025-01-17,TXN,NO_RESPONSE,299.93,Website
C007209,2025-03-18,APP_LOGIN,SUCCESS,4478.81,Branch
C005277,2025-04-27,CALL,SUCCESS,784.59,Website
C002063,2025-02-15,SMS,SUCCESS,1283.81,Mobile App
C000065,2025-06-18,APP_LOGIN,FAIL,256.68,Website
C008007,2025-05-21,APP_LOGIN,FAIL,151.49,Mobile App
C002569,2025-05-14,EMAIL,NO_RESPONSE,4803.03,Website
C005464,2025-06-10,APP_LOGIN,FAIL,434.02,Call Center
C002028,2025-05-12,EMAIL,NO_RESPONSE,222.06,Mobile App
C002696,2025-06-27,APP_LOGIN,NO_RESPONSE,1824.15,Mobile App
C009688,2025-02-17,EMAIL,SUCCESS,82.94,Website
C005259,2025-04-09,SMS,FAIL,139.04,Website
C005619,2025-01-27,TXN,SUCCESS,1678.01,Call Center
C006737,2025-01-06,EMAIL,SUCCESS,645.36,Mobile App
C000392,2025-02-27,CALL,SUCCESS,316.7,Mobile App
C005893,2025-01-01,CALL,NO_RESPONSE,569.51,Mobile App
C003562,2025-01-28,TXN,SUCCESS,3704.04,Mobile App
C006185,2025-01-29,SMS,SUCCESS,233.21,Mobile App
C003100,2025-04-06,APP_LOGIN,SUCCESS,100.97,Website
C006279,2025-06-05,CALL,SUCCESS,2616.01,Website
C008393,2025-04-01,CALL,SUCCESS,261.02,Branch
C003105,2025-03-09,APP_LOGIN,SUCCESS,2706.41,Mobile App
C007216,2025-02-10,APP_LOGIN,SUCCESS,435.29,Branch
C002455,2025-04-16,APP_LOGIN,SUCCESS,22.92,Mobile App
C008997,2025-04-26,APP_LOGIN,SUCCESS,654.09,Mobile App
C002732,2025-06-09,APP_LOGIN,FAIL,224.63,Website
C008155,2025-05-03,CALL,SUCCESS,615.32,Mobile App
C009763,2025-05-30,APP_LOGIN,SUCCESS,804.96,Mobile App
C005057,2025-05-01,SMS,SUCCESS,948.79,Mobile App
C008111,2025-02-26,TXN,SUCCESS,2860.05,Call Center
C003841,2025-01-22,APP_LOGIN,SUCCESS,1762.66,Mobile App
C001029,2025-03-07,APP_LOGIN,NO_RESPONSE,9.13,Call Center
C007386,2025-06-18,APP_LOGIN,SUCCESS,2210.12,Call Center
C000503,2025-02-12,TXN,FAIL,232.44,Call Center
C006911,2025-02-03,CALL,SUCCESS,285.36,Mobile App
C009063,2025-04-24,TXN,FAIL,1689.84,Mobile App
C006939,2025-01-02,CALL,NO_RESPONSE,719.55,Mobile App
C004489,2025-02-28,APP_LOGIN,FAIL,529.47,Mobile App
C000207,2025-02-05,APP_LOGIN,NO_RESPONSE,0.27,Mobile App
C005135,2025-01-08,SMS,FAIL,371.56,Branch
C005978,2025-06-10,CALL,SUCCESS,959.24,Mobile App
C007722,2025-02-02,CALL,SUCCESS,96.78,Mobile App
C007036,2025-01-18,APP_LOGIN,NO_RESPONSE,804.01,Mobile App
C001485,2025-03-05,CALL,SUCCESS,12.52,Mobile App
C007859,2025-03-02,APP_LOGIN,SUCCESS,1085.36,Call Center
C000864,2025-03-24,TXN,SUCCESS,57.75,Mobile App
C002791,2025-01-10,APP_LOGIN,NO_RESPONSE,68.84,Mobile App
C007409,2025-06-27,CALL,SUCCESS,1277.93,Call Center
C008756,2025-04-16,APP_LOGIN,SUCCESS,1304.05,Website
C005117,2025-01-22,TXN,SUCCESS,225.51,Mobile App
C006020,2025-02-08,TXN,NO_RESPONSE,98.46,Branch
C001758,2025-04-12,APP_LOGIN,SUCCESS,1533.0,Branch
C007575,2025-03-06,EMAIL,SUCCESS,1479.3,Website
C006375,2025-01-30,EMAIL,SUCCESS,222.88,Call Center
C006893,2025-05-13,APP_LOGIN,SUCCESS,347.21,Website
